Dest_Id,Pincode,Name,State_
,600083,CHENNAI,TAMIL NADU
,600084,CHENNAI,TAMIL NADU
,600085,CHENNAI,TAMIL NADU
,600086,CHENNAI,TAMIL NADU
,600087,CHENNAI,TAMIL NADU
,600088,CHENNAI,TAMIL NADU
,600089,CHENNAI,TAMIL NADU
,600090,CHENNAI,TAMIL NADU
,600091,CHENNAI,TAMIL NADU
,600092,CHENNAI,TAMIL NADU
,600093,CHENNAI,TAMIL NADU
,600094,CHENNAI,TAMIL NADU
,600095,CHENNAI,TAMIL NADU
,600096,CHENNAI,TAMIL NADU
,600097,CHENNAI,TAMIL NADU
,600098,CHENNAI,TAMIL NADU
,600099,CHENNAI,TAMIL NADU
,600100,CHENNAI,TAMIL NADU
,600101,CHENNAI,TAMIL NADU
,600102,CHENNAI,TAMIL NADU
,600103,CHENNAI,TAMIL NADU
,600104,CHENNAI,TAMIL NADU
,600105,CHENNAI,TAMIL NADU
,600106,CHENNAI,TAMIL NADU
,600107,CHENNAI,TAMIL NADU
,600108,CHENNAI,TAMIL NADU
,600109,CHENNAI,TAMIL NADU
,600110,CHENNAI,TAMIL NADU
,600111,CHENNAI,TAMIL NADU
,600112,CHENNAI,TAMIL NADU
,600113,CHENNAI,TAMIL NADU
,600114,CHENNAI,TAMIL NADU
,600116,CHENNAI,TAMIL NADU
,600117,CHENNAI,TAMIL NADU
,600118,CHENNAI,TAMIL NADU
,600119,CHENNAI,TAMIL NADU
,600120,CHENNAI,TAMIL NADU
,600122,CHENNAI,TAMIL NADU
,600123,CHENNAI,TAMIL NADU
,600125,CHENNAI,TAMIL NADU
,600126,CHENNAI,TAMIL NADU
,600127,KANCHIPURAM,TAMIL NADU
,600129,PACHIKAPALLAM,TAMIL NADU
,600130,CHENNAI,TAMIL NADU
,600140,CHENNAI,TAMIL NADU
,601201,GUMMIDIPONDI,TAMIL NADU
,601203,CHENNAI,TAMIL NADU
,601204,TIRUVALLORE,TAMIL NADU
,601205,SRIPERUMPUDUR,TAMIL NADU
,601206,GUMMIDIPONDI,TAMIL NADU
,601301,CHENNAI,TAMIL NADU
,601302,CHENNAI,TAMIL NADU
,601506,PONDICHERRY,PONDICHERY
,601802,TRICHY,TAMIL NADU
,602001,TIRUVALLORE,TAMIL NADU
,602002,TIRUVALLORE,TAMIL NADU
,602003,TIRUVALLORE,TAMIL NADU
,602004,TIRUVALLORE,TAMIL NADU
,602024,CHENNAI,TAMIL NADU
,602087,VEPPAMPATTU,TAMIL NADU
,602088,VEPPAMPATTU,TAMIL NADU
,602089,VEPPAMPATTU,TAMIL NADU
,602101,CHENNAI,TAMIL NADU
,602102,CHENNAI,TAMIL NADU
,602103,CHENNAI,TAMIL NADU
,602105,SRIPERUMPUDUR,TAMIL NADU
,602106,SRIPERUMPUDUR,TAMIL NADU
,602107,CHENNAI,TAMIL NADU
,602108,TIRUVALLORE,TAMIL NADU
,603001,CHENGALPATTU,TAMIL NADU
,603002,CHENNAI,TAMIL NADU
,603102,CHENNAI,TAMIL NADU
,603103,KANCHIPURAM,TAMIL NADU
,603109,KANCHIPURAM,TAMIL NADU
,603110,KANCHIPURAM,TAMIL NADU
,603111,CHENGALPATTU,TAMIL NADU
,603112,KANCHIPURAM,TAMIL NADU
,603201,GUDUVANCHERRY,TAMIL NADU
,603202,GUDUVANCHERRY,TAMIL NADU
,603203,GUDUVANCHERRY,TAMIL NADU
,603204,MARAIMALAINAGAR,TAMIL NADU
,603209,MARAIMALAINAGAR,TAMIL NADU
,603210,GUDUVANCHERRY,TAMIL NADU
,603211,CHENNAI,TAMIL NADU
,603308,CHENGALPATTU,TAMIL NADU
,603602,GUDUVANCHERRY,TAMIL NADU
,603603,CHENNAI,TAMIL NADU
,604001,TINDIVANAM,TAMIL NADU
,604002,TINDIVANAM,TAMIL NADU
,604202,GINGEE,TAMIL NADU
,604203,GINGEE,TAMIL NADU
,604304,VILLUPURAM - TN,TAMIL NADU
,604401,CHEYYAR,TAMIL NADU
,604406,THIRUVANNAMALAI,TAMIL NADU
,604407,CHEYYAR,TAMIL NADU
,604408,VILLUPURAM - TN,TAMIL NADU
,605001,PONDICHERRY,PONDICHERY
,605002,PONDICHERRY,PONDICHERY
,605003,PONDICHERRY,PONDICHERY
,605004,PONDICHERRY,PONDICHERY
,605005,PONDICHERRY,PONDICHERY
,605006,PONDICHERRY,PONDICHERY
,605007,PONDICHERRY,TAMIL NADU
,605008,PONDICHERRY,PONDICHERY
,605009,PONDICHERRY,PONDICHERY
,605010,PONDICHERRY,PONDICHERY
,605011,PONDICHERRY,PONDICHERY
,605012,PONDICHERRY,PONDICHERY
,605013,PONDICHERRY,PONDICHERY
,605014,PONDICHERRY,PONDICHERY
,605101,PONDICHERRY,PONDICHERY
,605102,PONDICHERRY,PONDICHERY
,605104,PONDICHERRY,PONDICHERY
,605106,PONDICHERRY,PONDICHERY
,605107,PONDICHERRY,PONDICHERY
,605109,PONDICHERRY,PONDICHERY
,605110,PONDICHERRY,PONDICHERY
,605111,PONDICHERRY,PONDICHERY
,605401,VILLUPURAM - TN,TAMIL NADU
,605402,VILLUPURAM - TN,PONDICHERY
,605501,PONDICHERRY,PONDICHERY
,605502,PONDICHERRY,PONDICHERY
,605601,VILLUPURAM - TN,TAMIL NADU
,605602,VILLUPURAM - TN,TAMIL NADU
,605606,PONDICHERRY,PONDICHERY
,605652,VILLUPURAM - TN,TAMIL NADU
,605757,VILLUPURAM - TN,TAMIL NADU
,606001,CUDDALORE,TAMIL NADU
,606002,CUDDALORE,TAMIL NADU
,606006,PONDICHERRY,PONDICHERY
,606016,SALEM,TAMIL NADU
,606104,CUDDALORE,TAMIL NADU
,606105,PENNADAM,TAMIL NADU
,606106,TITTAGUDI,TAMIL NADU
,606107,ULUNDURPET,TAMIL NADU
,606108,VILLUPURAM - TN,TAMIL NADU
,606201,SALEM,TAMIL NADU
,606202,KALLAKURUCHI,TAMIL NADU
,606206,VILLUPURAM - TN,TAMIL NADU
,606207,SALEM,TAMIL NADU
,606601,THIRUVANNAMALAI,TAMIL NADU
,606602,THIRUVANNAMALAI,TAMIL NADU
,606603,THIRUVANNAMALAI,TAMIL NADU
,606604,VILLUPURAM - TN,TAMIL NADU
,606701,VILLUPURAM - TN,TAMIL NADU
,606702,CHENGAM,TAMIL NADU
,606703,CHENGAM,TAMIL NADU
,606704,CHENGAM,TAMIL NADU
,606705,CHENGAM,TAMIL NADU
,606706,CHENGAM,TAMIL NADU
,606707,CHENGAM,TAMIL NADU
,606708,CHENGAM,TAMIL NADU
,606710,CHENGAM,TAMIL NADU
,606751,POLUR,TAMIL NADU
,606754,VILLUPURAM - TN,TAMIL NADU
,606801,THIRUVANNAMALAI,TAMIL NADU
,606803,VILLUPURAM - TN,TAMIL NADU
,606902,ARNI,TAMIL NADU
,606905,POLUR,TAMIL NADU
,606906,POLUR,TAMIL NADU
,607001,CUDDALORE,TAMIL NADU
,607002,CUDDALORE,TAMIL NADU
,607003,CUDDALORE,TAMIL NADU
,607004,CUDDALORE,TAMIL NADU
,607005,CUDDALORE,TAMIL NADU
,607103,PANRUTI,TAMIL NADU
,607105,VILLUPURAM - TN,TAMIL NADU
,607106,VILLUPURAM - TN,TAMIL NADU
,607107,VILLUPURAM - TN,TAMIL NADU
,607109,CUDDALORE,TAMIL NADU
,607203,VILLUPURAM - TN,TAMIL NADU
,607301,CUDDALORE,TAMIL NADU
,607302,VILLUPURAM - TN,TAMIL NADU
,607303,VILLUPURAM - TN,TAMIL NADU
,607308,CUDDALORE,TAMIL NADU
,607402,PONDICHERRY,PONDICHERY
,607801,CUDDALORE,TAMIL NADU
,607802,VILLUPURAM - TN,TAMIL NADU
,607803,NEYVELI,TAMIL NADU
,607804,CUDDALORE,TAMIL NADU
,607807,CUDDALORE,TAMIL NADU
,608001,CHIDAMBARAM,TAMIL NADU
,608002,VILLUPURAM - TN,TAMIL NADU
,608109,SIVAGIRI,TAMIL NADU
,608301,KATTUMANNARKOIL,TAMIL NADU
,608502,PARANGIPETTAI,TAMIL NADU
,608702,VILLUPURAM - TN,TAMIL NADU
,608703,VILLUPURAM - TN,TAMIL NADU
,608704,VILLUPURAM - TN,TAMIL NADU
,609001,MAYILADUTHURAI,TAMIL NADU
,609002,TRICHY,TAMIL NADU
,609003,MAYILADUTHURAI,TAMIL NADU
,609109,SIRKAZHI,TAMIL NADU
,609110,SIRKALI,TAMIL NADU
,609111,VILLUPURAM - TN,TAMIL NADU
,609117,VILLUPURAM - TN,TAMIL NADU
,609309,NAGAPATTINAM,TAMIL NADU
,609401,MAYILADUTHURAI,TAMIL NADU
,609404,MAYILADUTHURAI,TAMIL NADU
,609405,TIRUVARUR,TAMIL NADU
,609601,KARAIKAL,TAMIL NADU
,609602,KARAIKAL,TAMIL NADU
,609604,KARAIKAL,TAMIL NADU
,609605,KARAIKAL,TAMIL NADU
,609606,KARAIKAL,TAMIL NADU
,609607,KARAIKAL,TAMIL NADU
,609609,KARAIKAL,TAMIL NADU
,609801,TRICHY,TAMIL NADU
,610001,TIRUVARUR,TAMIL NADU
,610002,TIRUVARUR,TAMIL NADU
,610003,TIRUVARUR,TAMIL NADU
,610004,TIRUVARUR,TAMIL NADU
,610009,TIRUVARUR,TAMIL NADU
,610109,TRICHY,TAMIL NADU
,611001,NAGAPATTINAM,TAMIL NADU
,611002,NAGAPATTINAM,TAMIL NADU
,611003,NAGAPATTINAM,TAMIL NADU
,611104,NAGAPATTINAM,TAMIL NADU
,611106,NAGAPATTINAM,TAMIL NADU
,611111,NAGAPATTINAM,TAMIL NADU
,612001,KUMBAKONAM,TAMIL NADU
,612002,KUMBAKONAM,TAMIL NADU
,612103,TRICHY,TAMIL NADU
,612302,THANJAVUR,TAMIL NADU
,612702,THANJAVUR,TAMIL NADU
,613001,THANJAVUR,TAMIL NADU
,613002,THANJAVUR,TAMIL NADU
,613004,THANJAVUR,TAMIL NADU
,613005,THANJAVUR,TAMIL NADU
,613006,THANJAVUR,TAMIL NADU
,613007,THANJAVUR,TAMIL NADU
,613009,THANJAVUR,TAMIL NADU
,613010,THANJAVUR,TAMIL NADU
,613104,THANJAVUR,TAMIL NADU
,613204,TRICHY,TAMIL NADU
,613301,PUDUKKOTTAI,TAMIL NADU
,613401,THANJAVUR,TAMIL NADU
,613402,TRICHY,TAMIL NADU
,613403,THANJAVUR,TAMIL NADU
,613701,TIRUVARUR,TAMIL NADU
,614001,TIRUVARUR,TAMIL NADU
,614014,TIRUVARUR,TAMIL NADU
,614101,TIRUVARUR,TAMIL NADU
,614102,TIRUVARUR,TAMIL NADU
,614103,TIRUVARUR,TAMIL NADU
,614201,THANJAVUR,TAMIL NADU
,614202,THANJAVUR,TAMIL NADU
,614203,AYYAMPET,TAMIL NADU
,614205,THANJAVUR,TAMIL NADU
,614206,THANJAVUR,TAMIL NADU
,614207,NAGAPATTINAM,TAMIL NADU
,614211,THANJAVUR,TAMIL NADU
,614401,THANJAVUR,TAMIL NADU
,614404,TIRUVARUR,TAMIL NADU
,614601,PATTUKOTTAI,TAMIL NADU
,614602,PATTUKOTTAI,TAMIL NADU
,614604,TIRUPUR,TAMIL NADU
,614616,ARANTHANGI,TAMIL NADU
,614619,ARANTHANGI,TAMIL NADU
,614621,ARANTHANGI,TAMIL NADU
,614622,TRICHY,TAMIL NADU
,614624,ARANTHANGI,TAMIL NADU
,614625,TRICHY,TAMIL NADU
,614704,TIRUVARUR,TAMIL NADU
,614713,TRICHY,TAMIL NADU
,614801,ARANTHANGI,TAMIL NADU
,614804,THANJAVUR,TAMIL NADU
,614809,TRICHY,TAMIL NADU
,614810,TRICHY,TAMIL NADU
,614818,ARANTHANGI,TAMIL NADU
,614904,TRICHY,TAMIL NADU
,617108,TISAIYANVILLAI,TAMIL NADU
,617657,TISAIYANVILLAI,TAMIL NADU
,620001,TRICHY,TAMIL NADU
,620002,TRICHY,TAMIL NADU
,620003,TRICHY,TAMIL NADU
,620004,TRICHY,TAMIL NADU
,620005,TRICHY,TAMIL NADU
,620006,TRICHY,TAMIL NADU
,620007,TRICHY,TAMIL NADU
,620008,TRICHY,TAMIL NADU
,620010,TRICHY,TAMIL NADU
,620011,TRICHY,TAMIL NADU
,620012,TRICHY,TAMIL NADU
,620013,TRICHY,TAMIL NADU
,620014,TRICHY,TAMIL NADU
,620015,TRICHY,TAMIL NADU
,620016,TRICHY,TAMIL NADU
,620017,TRICHY,TAMIL NADU
,620018,TRICHY,TAMIL NADU
,620019,TRICHY,TAMIL NADU
,620020,TRICHY,TAMIL NADU
,620021,TRICHY,TAMIL NADU
,620022,TRICHY,TAMIL NADU
,620023,TRICHY,TAMIL NADU
,620024,TRICHY,TAMIL NADU
,620025,TRICHY,TAMIL NADU
,620026,TRICHY,TAMIL NADU
,620101,TRICHY,TAMIL NADU
,620102,TRICHY,TAMIL NADU
,620106,TRICHY,TAMIL NADU
,620108,TRICHY,TAMIL NADU
,620110,TRICHY,TAMIL NADU
,621010,THURAIYUR,TAMIL NADU
,621014,THURAIYUR,TAMIL NADU
,621108,PERAMBALUR,TAMIL NADU
,621112,TRICHY,TAMIL NADU
,621113,PERAMBALUR,TAMIL NADU
,621115,PERAMBALUR,TAMIL NADU
,621116,VILLUPURAM - TN,TAMIL NADU
,621203,TRICHY,TAMIL NADU
,621205,ARIYALUR,TAMIL NADU
,621207,TRICHY,TAMIL NADU
,621209,TIRUTTANI,TAMIL NADU
,621211,MUSIRI,TAMIL NADU
,621212,PERAMBALUR,TAMIL NADU
,621216,TRICHY,TAMIL NADU
,621218,LALGUDI,TAMIL NADU
,621220,PERAMBALUR,TAMIL NADU
,621302,TRICHY,TAMIL NADU
,621306,TRICHY,TAMIL NADU
,621310,TRICHY,TAMIL NADU
,621314,TRICHY,TAMIL NADU
,621315,TRICHY,TAMIL NADU
,621316,VIRALIMALAI,TAMIL NADU
,621601,LALGUDI,TAMIL NADU
,621619,MADURAI,TAMIL NADU
,621651,TRICHY,TAMIL NADU
,621704,ARIYALUR,TAMIL NADU
,621708,PERAMBALUR,TAMIL NADU
,621712,LALGUDI,TAMIL NADU
,621713,ARIYALUR,TAMIL NADU
,621714,ARIYALUR,TAMIL NADU
,621729,ARIYALUR,TAMIL NADU
,621802,ARIYALUR,TAMIL NADU
,622001,PUDUKKOTTAI,TAMIL NADU
,622002,PUDUKKOTTAI,TAMIL NADU
,622003,PUDUKKOTTAI,TAMIL NADU
,622004,PUDUKKOTTAI,TAMIL NADU
,622005,PUDUKKOTTAI,TAMIL NADU
,622018,TRICHY,TAMIL NADU
,622019,TRICHY,TAMIL NADU
,622020,TRICHY,TAMIL NADU
,622101,TUTICORIN,TAMIL NADU
,622102,PUDUKKOTTAI,TAMIL NADU
,622301,PUDUKKOTTAI,TAMIL NADU
,622302,CHENNAI,TAMIL NADU
,622407,TRICHY,TAMIL NADU
,622408,TRICHY,TAMIL NADU
,622411,TRICHY,TAMIL NADU
,622501,KEERANUR,TAMIL NADU
,622502,TRICHY,TAMIL NADU
,622504,KEERANUR,TAMIL NADU
,622505,PUDUKKOTTAI,TAMIL NADU
,622506,PUDUKKOTTAI,TAMIL NADU
,622507,PUDUKKOTTAI,TAMIL NADU
,622515,TRICHY,TAMIL NADU
,623302,DEVAKOTTAI,TAMIL NADU
,623303,DEVAKOTTAI,TAMIL NADU
,623406,KATPADI,TAMIL NADU
,623407,MADURAI,TAMIL NADU
,623501,RAMANATHAPURAM,TAMIL NADU
,623502,RAMANATHAPURAM,TAMIL NADU
,623503,MADURAI,TAMIL NADU
,623504,RAMNAD,TAMIL NADU
,623505,RAMANATHAPURAM,TAMIL NADU
,623512,MADURAI,TAMIL NADU
,623513,MADURAI,TAMIL NADU
,623514,MADURAI,TAMIL NADU
,623517,KILAKARAI,TAMIL NADU
,623518,RAMESHWARAM,TAMIL NADU
,623521,RAMESHWARAM,TAMIL NADU
,623522,MADURAI,TAMIL NADU
,623523,MADURAI,TAMIL NADU
,623525,RAMNAD,TAMIL NADU
,623526,RAMNAD,TAMIL NADU
,623527,MADURAI,TAMIL NADU
,623529,RAMESHWARAM,TAMIL NADU
,623531,RAMESHWARAM,TAMIL NADU
,623532,MADURAI,TAMIL NADU
,623533,MADURAI,TAMIL NADU
,623534,MADURAI,TAMIL NADU
,623608,RAMNAD,TAMIL NADU
,623701,PARAMAKUDI,TAMIL NADU
,623702,MADURAI,TAMIL NADU
,623704,MUDUKULATHUR,TAMIL NADU
,623707,PARAMAKUDI,TAMIL NADU
,623802,MADURAI,TAMIL NADU
,623806,KILAKARAI,TAMIL NADU
,623808,TIRUNELVELI,TAMIL NADU
,624001,DINDIGUL,TAMIL NADU
,624002,DINDIGUL,TAMIL NADU
,624003,DINDIGUL,TAMIL NADU
,624004,DINDIGUL,TAMIL NADU
,624005,DINDIGUL,TAMIL NADU
,624101,KODAIKANAL,TAMIL NADU
,624126,UDUMALPET,TAMIL NADU
,624128,UDUMALPET,TAMIL NADU
,624154,UDUMALPET,TAMIL NADU
,624201,MADURAI,TAMIL NADU
,624202,BATLAGUNDU,TAMIL NADU
,624203,BATLAGUNDU,TAMIL NADU
,624204,BATLAGUNDU,TAMIL NADU
,624208,NILAKOTTAI,TAMIL NADU
,624211,BATLAGUNDU,TAMIL NADU
,624301,CHINNALAPATTI,TAMIL NADU
,624302,CHINNALAPATTI,TAMIL NADU
,624308,DINDIGUL,TAMIL NADU
,624401,DINDIGUL,TAMIL NADU
,624513,MADURAI,TAMIL NADU
,624601,PALANI,TAMIL NADU
,624602,PALANI,TAMIL NADU
,624610,PALANI,TAMIL NADU
,624613,PALANI,TAMIL NADU
,624614,ODDANCHATRAM,TAMIL NADU
,624615,PALANI,TAMIL NADU
,624618,PALANI,TAMIL NADU
,624619,ODDANCHATRAM,TAMIL NADU
,624620,KARUR,TAMIL NADU
,624622,DINDIGUL,TAMIL NADU
,624705,DINDIGUL,TAMIL NADU
,624707,BATLAGUNDU,TAMIL NADU
,624708,BATLAGUNDU,TAMIL NADU
,624710,DINDIGUL,TAMIL NADU
,625001,MADURAI,TAMIL NADU
,625002,THENI,TAMIL NADU
,625003,MADURAI,TAMIL NADU
,625004,MADURAI,TAMIL NADU
,625005,MADURAI,TAMIL NADU
,625006,MADURAI,TAMIL NADU
,625007,MADURAI,TAMIL NADU
,625008,MADURAI,TAMIL NADU
,625009,MADURAI,TAMIL NADU
,625010,MADURAI,TAMIL NADU
,625011,MADURAI,TAMIL NADU
,625012,MADURAI,TAMIL NADU
,625014,MADURAI,TAMIL NADU
,625015,MADURAI,TAMIL NADU
,625016,MADURAI,TAMIL NADU
,625017,MADURAI,TAMIL NADU
,625018,MADURAI,TAMIL NADU
,625019,MADURAI,TAMIL NADU
,625020,MADURAI,TAMIL NADU
,625021,MADURAI,TAMIL NADU
,625022,MADURAI,TAMIL NADU
,625023,MADURAI,TAMIL NADU
,625101,MADURAI,TAMIL NADU
,625102,MADURAI,TAMIL NADU
,625103,TIRUPATTUR,TAMIL NADU
,625104,MADURAI,TAMIL NADU
,625106,MELUR,TAMIL NADU
,625107,MADURAI,TAMIL NADU
,625108,MELUR,TAMIL NADU
,625109,MELUR,TAMIL NADU
,625110,MANAMADURAI,TAMIL NADU
,625112,MADURAI,TAMIL NADU
,625113,MADURAI,TAMIL NADU
,625118,MADURAI,TAMIL NADU
,625122,MELUR,TAMIL NADU
,625129,MADURAI,TAMIL NADU
,625160,MADURAI,TAMIL NADU
,625201,MADURAI,TAMIL NADU
,625205,VADIPATTI,TAMIL NADU
,625214,MADURAI,TAMIL NADU
,625218,MADURAI,TAMIL NADU
,625220,MADURAI,TAMIL NADU
,625221,MADURAI,TAMIL NADU
,625301,MELUR,TAMIL NADU
,625307,MADURAI,TAMIL NADU
,625401,MADURAI,TAMIL NADU
,625402,MADURAI,TAMIL NADU
,625418,MADURAI,TAMIL NADU
,625501,MADURAI,TAMIL NADU
,625504,RAMANATHAPURAM,TAMIL NADU
,625512,AUNDIPATTI,TAMIL NADU
,625513,BODINAYAKANUR,TAMIL NADU
,625515,THENI,TAMIL NADU
,625516,CUMBUM -TN,TAMIL NADU
,625523,PERIYAKULAM,TAMIL NADU
,625530,THENI,TAMIL NADU
,625531,THENI,TAMIL NADU
,625532,USILAMPATTY,TAMIL NADU
,625533,UTHAMAPALAYAM,TAMIL NADU
,625535,MADURAI,TAMIL NADU
,625536,AUNDIPATTI,TAMIL NADU
,625579,DINDIGUL,TAMIL NADU
,625601,PERIYAKULAM,TAMIL NADU
,625602,THENI,TAMIL NADU
,625603,DINDIGUL,TAMIL NADU
,625604,PERIYAKULAM,TAMIL NADU
,625605,DINDIGUL,TAMIL NADU
,625620,PERIYAKULAM,TAMIL NADU
,625701,KALLIGUDI,TAMIL NADU
,625702,KALIPETTAI,TAMIL NADU
,625703,MADURAI,TAMIL NADU
,625706,MADURAI,TAMIL NADU
,625707,KALLUPATTI,TAMIL NADU
,625708,KALLUPATTI,TAMIL NADU
,625905,MADURAI,TAMIL NADU
,626001,VIRUDHUNAGAR,TAMIL NADU
,626002,VIRUDHUNAGAR,TAMIL NADU
,626003,VIRUDHUNAGAR,TAMIL NADU
,626004,VIRUDHUNAGAR,TAMIL NADU
,626101,MADURAI,TAMIL NADU
,626102,MADURAI,TAMIL NADU
,626104,MADURAI,TAMIL NADU
,626105,ARUPPUKOTTAI,TAMIL NADU
,626106,MADURAI,TAMIL NADU
